"ID";"артикул";"цена";"<s> цена </s>";"производитель";"раздел";"название";"показывать";"спец-товар";"url";"title";"keywords";"description";"текст";
"1";"85";"0";"1";"13";"0";"1";"0";"0";"Acer Aspire AS5755G-2634G50Mnks";"";"Экран 15.6&quot;, 1366x768, LED / Intel Pentium Dual Core P6000 (1.86 ГГц) / RAM 2 ГБ / HDD 320 ГБ / ATI Radeon HD 545v, 512 МБ / DVD Super Multi / LAN / Wi-Fi / веб-камера / DOS / 2.4 кг Acer Aspire AS5755G-2634G50Mnks";"<p>Экран 15.6&quot;, 1366x768, LED / Intel Pentium Dual Core P6000 (1.86 ГГц) / RAM 2 ГБ / HDD 320 ГБ / ATI Radeon HD 545v, 512 МБ / DVD Super Multi / LAN / Wi-Fi / веб-камера / DOS / 2.4 кг<span id=&quot;copyinfo&quot;><br /></span></p>";"";
"6";"538";"0";"1";"13";"0";"1";"1";"0";"Asus K53BR";"";"Asus K53BR (15,6&quot; HD(1366x768)/AMD DC E450/4Gb/500Gb/Radeon HD 7470, 1GB/DVD SM DL/Web-Cam 0.3Mp/Wi-Fi/BT/3xUSB/HDMI,VGA/CR3in1/DOS/6cell/2.6kg) Asus K53BR";"<p>Asus K53BR (15,6&quot; HD(1366x768)/AMD DC E450/4Gb/500Gb/Radeon HD 7470, 1GB/DVD SM DL/Web-Cam 0.3Mp/Wi-Fi/BT/3xUSB/HDMI,VGA/CR3in1/DOS/6cell/2.6kg)</p>";"";
"7";"404";"0";"1";"13";"0";"1";"0";"0";"Acer Aspire 5250-E302G32Mikk";"";"dfgadfg Acer Aspire 5250-E302G32Mikk";"<p>Acer Aspire 5250-E302G32Mikk/15.6&quot; HD WXGAG/AMD DC E-300 1.3GHz/2GB/320GB/AMD Radeon HD6310M/DVD SM/LAN/WiFi GN/CR 2in1/HDMI/Cam 0.3M/OS Linux/4400 mAh 6-cell/2.6 kg</p>";"";
"8";"905";"190";"2";"13";"0";"1";"1";"0";"Asus N53SV";"asus, n53sv, i7-2630qm, core, n53sv-sx633d, 1366x768";"N53SV-SX633D Asus N53SV (15.6'' (1366x768) LED/Core i7-2630QM(2.0 GHz)/4Gb/500Gb/GeForce GT540M, 1Gb/DVD SM/LAN/Wi-Fi/BT/HDMI/Web-Cam/CR3in1/DOS/6cell/2.7kg) Asus N53SV";"<p>Asus N53SV (15.6'' (1366x768) LED/Core i7-2630QM(2.0 GHz)/4Gb/500Gb/GeForce GT540M, 1Gb/DVD SM/LAN/Wi-Fi/BT/HDMI/Web-Cam/CR3in1/DOS/6cell/2.7kg)</p>";"";
"9";"0";"0";"4";"13";"0";"1";"0";"0";"";"Lenovo IdeaPad B570A 15.6&quot; (1366x768) LED, глянцевый/Intel Core i5-2430M (2.4 ГГц) / RAM 4 ГБ / HDD 500 ГБ / nVidia GeForce 410M, 1 ГБ / DVD+/-RW / LAN / Wi-Fi / Bluetooth / веб-камера / DOS / 2.35 кг Lenovo IdeaPad B570A";"<p>Lenovo IdeaPad B570A 15.6&quot; (1366x768) LED, глянцевый/Intel Core i5-2430M (2.4 ГГц) / RAM 4 ГБ / HDD 500 ГБ / nVidia GeForce 410M, 1 ГБ / DVD+/-RW / LAN / Wi-Fi / Bluetooth / веб-камера / DOS / 2.35 кг</p>";"";"";
"10";"6373";"0";"1";"13";"0";"1";"0";"0";"Samsung Series 3";"";"Samsung Series 3 15,6'' (1366x768)HD LED, матовый/Intel Core i3-2310M (2.1 ГГц)/RAM 3 ГБ/HDD 320 ГБ/nVidia GFce 520MX, 1 ГБ/DVD Super Multi/LAN/Wi-Fi/Bluetooth 3.0/веб-камера/DOS/2.45 кг/черный 628.00 Samsung Series 3";"<p>Samsung Series 3 15,6'' (1366x768)HD LED, матовый/Intel Core i3-2310M (2.1 ГГц)/RAM 3 ГБ/HDD 320 ГБ/nVidia GFce 520MX, 1 ГБ/DVD Super Multi/LAN/Wi-Fi/Bluetooth 3.0/веб-камера/DOS/2.45 кг/черный</p>";"";
